,ambition1,confidence1,patience1,kindness1,creativity1,resposibility1,optimism1,courage1,modesty1,perseverance1,ambition2,confidence2,patience2,kindness2,creativity2,resposibility2,optimism2,courage2,modesty2,perseverance2,match
11,0.86,0.72,0.59,0.13,0.01,0.03,0.56,0.58,0.36,0.27,0.27,0.26,0.82,0.71,0.28,0.75,0.49,0.94,0.53,0.98,0
12,0.65,0.9,0.34,0.79,0.73,0.69,0.51,0.93,0.35,0.17,0.01,0.83,0.99,0.81,0.4,0.74,0.92,0.69,0.93,0.84,0
13,0.67,0.79,0.14,1.0,0.83,0.22,0.98,0.34,0.53,0.66,0.39,0.17,0.75,0.74,0.3,0.75,0.42,0.15,0.2,0.74,0
14,0.21,0.94,0.44,0.64,1.0,0.14,0.16,0.77,0.74,0.9,0.14,0.97,0.11,0.87,0.62,0.49,0.98,0.74,0.86,0.68,1
15,0.81,0.3,0.87,0.17,0.16,0.42,0.63,0.03,0.53,0.34,0.71,0.17,0.73,0.18,0.75,0.06,0.08,0.72,0.75,0.71,0
16,0.46,0.5,0.95,0.57,0.49,0.94,0.38,0.48,0.52,0.61,0.19,0.58,0.38,0.4,0.83,0.87,0.11,0.11,0.62,0.45,1
17,0.01,0.17,0.73,0.35,0.92,0.28,0.91,0.76,0.02,0.35,0.0,0.65,0.86,0.7,0.4,0.49,0.44,0.51,0.69,0.69,1
18,0.16,0.08,0.34,0.8,0.34,0.4,0.1,0.33,0.41,0.83,0.1,0.45,0.68,0.76,0.61,0.06,0.16,0.53,0.32,0.96,1
19,0.74,0.03,0.02,0.19,0.38,0.0,0.49,0.84,0.21,0.87,0.2,0.92,0.92,0.21,0.49,0.93,0.87,0.46,0.85,0.26,0
20,0.76,0.31,0.25,0.88,0.62,0.08,0.67,1.0,0.54,0.83,0.74,0.59,0.86,0.44,0.18,0.52,0.95,0.95,0.7,0.71,1
21,0.66,0.28,0.85,0.16,0.89,0.6,0.43,0.31,0.57,0.87,0.23,0.69,0.58,0.57,0.72,0.85,0.25,0.33,0.62,0.83,1
22,0.79,0.68,0.64,0.11,0.49,0.54,0.06,0.76,0.69,0.34,0.4,0.84,0.92,0.57,0.28,0.14,0.51,0.84,0.18,0.38,1
23,0.8,0.75,0.25,0.01,0.72,0.38,0.11,0.32,0.67,0.91,0.68,0.73,0.79,0.9,1.0,0.52,0.58,0.85,0.12,0.43,0
24,0.16,0.37,0.78,0.75,0.19,0.13,1.0,0.07,0.74,0.97,0.13,0.19,0.54,0.5,0.94,0.46,0.71,0.23,0.61,0.06,1
25,0.5,0.93,0.61,0.25,0.84,0.24,0.62,0.46,0.7,0.18,0.04,0.28,0.03,0.36,0.1,0.06,0.77,0.83,0.62,0.64,0
26,0.91,0.25,0.41,0.22,0.02,0.03,0.25,0.92,0.4,0.73,0.84,0.73,0.31,0.19,0.22,0.21,0.32,0.81,0.51,0.95,1
27,0.63,0.5,0.62,0.62,0.78,0.04,0.85,0.89,0.55,0.59,0.19,0.64,0.4,0.85,0.06,0.33,0.96,0.66,0.1,0.44,1
28,0.68,0.08,0.05,0.89,0.28,0.63,0.4,0.45,0.35,0.14,0.05,0.48,0.31,0.02,0.57,0.62,0.19,0.95,0.91,1.0,0
29,0.22,0.2,0.85,0.16,0.38,0.68,0.49,0.49,0.75,0.89,0.11,0.18,0.68,0.76,0.85,0.91,0.93,0.68,0.54,0.59,1
30,0.32,0.17,0.02,0.97,0.6,0.25,0.77,0.17,0.18,0.86,0.02,0.61,0.15,0.81,0.84,0.44,0.65,0.18,0.38,0.36,1
31,0.8,0.95,0.19,0.99,0.84,0.77,0.85,0.67,0.04,0.22,0.64,0.26,0.49,0.31,0.58,0.67,0.83,0.57,0.02,0.16,1
32,0.33,0.63,0.28,0.37,0.18,0.31,0.45,0.85,0.83,0.8,0.09,0.22,0.23,0.69,0.05,0.48,0.98,0.22,0.87,0.97,1
33,0.44,0.31,0.91,0.62,0.6,0.96,0.56,0.98,0.0,0.62,0.3,0.29,0.8,0.63,0.19,0.12,0.48,0.49,0.02,0.85,1
34,0.48,0.19,0.15,0.4,0.78,0.04,0.91,0.29,0.16,0.89,0.47,0.97,0.17,0.06,0.5,0.64,0.84,0.53,0.94,0.7,0
35,0.68,0.88,0.62,0.57,0.01,0.31,0.09,0.06,0.01,0.34,0.49,0.83,0.09,0.37,0.4,0.58,0.44,0.52,0.37,0.88,1
36,0.84,0.84,0.96,0.8,0.83,0.41,0.87,0.13,0.95,0.02,0.48,0.41,0.78,0.53,0.1,0.11,0.08,0.26,0.01,0.05,0
37,0.61,0.77,0.61,0.0,0.37,0.35,0.37,0.56,0.23,0.69,0.02,0.42,0.24,0.8,0.32,0.86,0.94,0.75,0.53,0.29,0
38,0.86,0.02,0.63,0.45,0.63,0.44,0.85,0.85,0.39,0.59,0.74,0.47,0.75,0.46,0.72,0.42,0.22,0.89,0.36,0.68,1
39,0.89,0.44,0.48,0.58,0.89,0.71,0.29,0.42,0.29,0.12,0.03,0.92,0.3,0.87,0.67,0.0,0.45,0.9,0.31,0.73,0
40,0.76,0.98,0.1,0.38,0.7,0.76,0.08,0.2,0.74,0.98,0.41,0.19,0.98,0.75,0.27,0.67,0.82,0.13,0.78,0.33,0
41,0.97,0.36,0.72,0.41,0.0,0.81,0.28,0.5,0.85,0.43,0.04,0.95,0.91,0.88,0.5,0.07,0.01,0.42,0.51,0.24,0
42,0.71,0.93,0.68,0.59,0.85,0.4,0.73,0.03,0.8,0.21,0.28,0.62,0.19,0.49,0.47,1.0,0.52,0.81,0.79,0.65,1
43,0.79,0.88,0.59,0.99,0.88,0.2,0.66,0.37,0.28,0.94,0.37,0.49,0.17,0.15,0.56,0.6,0.83,0.27,1.0,0.6,1
44,0.95,0.15,0.87,0.72,0.77,0.73,0.29,0.84,0.21,0.74,0.87,0.57,0.92,0.7,0.12,0.97,0.72,0.23,0.57,0.99,1
45,0.8,0.54,0.2,0.42,0.92,0.5,0.91,0.42,1.0,0.52,0.1,0.3,0.07,0.58,0.61,0.29,0.29,0.44,0.03,0.36,0
46,0.13,0.98,0.98,0.08,0.54,0.21,0.52,0.57,0.35,0.67,0.08,0.21,0.59,0.73,0.4,0.32,0.77,0.21,0.38,0.19,1
47,0.41,0.04,0.41,0.27,0.96,0.23,0.79,0.62,0.8,0.32,0.2,0.56,0.88,0.34,1.0,0.89,0.54,0.51,0.97,0.01,1
48,0.82,0.36,0.99,0.13,0.63,0.19,0.98,1.0,0.59,0.75,0.69,0.87,0.5,0.13,0.74,0.52,0.1,0.88,0.02,0.07,0
49,0.89,0.61,0.67,0.77,0.81,0.41,0.87,0.75,0.66,0.03,0.27,0.32,0.54,0.12,0.14,0.63,0.92,0.14,0.67,0.01,0
50,0.77,0.1,0.25,0.35,0.4,0.31,0.5,0.2,0.3,0.88,0.74,0.75,0.93,0.24,0.02,0.21,0.48,0.67,0.47,0.97,1
51,0.68,0.6,0.39,0.64,0.98,0.03,0.48,0.61,0.95,0.08,0.2,0.49,0.29,0.59,0.58,0.24,0.3,0.88,0.83,0.39,1
52,0.67,0.36,0.9,0.61,0.8,0.12,0.59,0.67,0.3,0.45,0.04,0.55,0.74,0.42,0.4,0.84,0.85,0.91,0.93,0.04,0
53,0.03,0.74,0.13,0.7,0.54,0.58,0.11,0.43,0.17,0.64,0.01,0.29,0.89,0.08,0.13,0.22,0.39,0.84,0.99,0.21,0
54,0.4,0.08,0.97,0.1,0.22,0.29,0.15,0.05,0.74,0.25,0.05,0.89,0.0,0.32,0.75,0.74,0.17,0.56,1.0,0.87,0
55,0.89,0.59,0.37,0.87,0.41,0.44,0.54,0.16,0.83,0.3,0.59,0.42,0.64,0.18,0.64,1.0,0.31,0.89,0.34,0.53,0
56,0.66,0.65,0.65,0.62,0.37,0.76,0.85,0.72,0.67,0.91,0.52,0.82,0.81,0.72,0.3,0.51,0.13,0.56,0.22,0.25,1
57,0.48,0.89,0.23,0.28,0.41,0.31,0.24,0.58,0.79,0.19,0.37,0.46,0.09,0.13,0.21,0.39,0.62,0.87,0.59,0.41,1
58,0.93,0.46,0.99,0.45,0.38,0.59,0.12,0.74,0.74,0.15,0.91,0.27,0.67,0.32,0.04,0.65,0.61,0.86,0.59,0.36,1
59,0.66,0.07,0.38,0.12,0.97,0.13,0.67,0.83,0.17,0.72,0.28,0.08,0.7,0.25,0.19,0.72,0.12,0.12,0.34,0.01,0
60,0.71,0.71,0.09,0.79,0.03,0.69,0.24,0.42,0.9,0.28,0.43,0.3,0.93,0.32,0.78,0.19,0.55,0.69,0.13,0.88,0
61,0.69,0.6,0.15,0.61,0.03,0.52,0.33,0.82,0.8,0.48,0.14,0.68,0.27,0.26,0.67,0.74,0.47,0.99,0.2,0.89,0
62,0.75,0.83,0.6,0.41,0.09,0.96,0.87,0.48,0.8,0.38,0.71,0.27,0.27,0.59,0.35,0.28,0.9,0.04,0.83,0.55,1
63,0.6,0.86,0.71,0.74,0.22,0.37,0.25,0.82,0.99,0.86,0.4,0.62,0.87,0.04,0.07,0.16,0.47,0.95,0.16,0.26,0
64,0.88,0.78,0.44,0.5,0.13,0.88,0.96,0.02,0.12,0.21,0.53,0.58,0.78,0.19,0.37,0.15,0.31,0.37,0.32,0.97,0
65,0.4,0.06,0.45,0.82,0.81,0.0,0.64,0.56,0.5,0.34,0.05,0.17,0.69,0.54,0.22,0.43,0.83,0.15,0.39,0.33,1
66,0.57,0.52,0.81,0.47,0.76,0.17,0.73,0.74,0.27,0.28,0.02,0.14,1.0,0.57,0.48,0.04,0.8,0.15,0.16,0.16,1
67,0.9,0.97,0.57,0.19,0.83,0.65,0.68,0.3,0.6,0.9,0.57,0.74,0.9,0.15,0.47,0.93,0.88,0.52,0.17,0.2,1
68,0.42,0.59,0.9,0.63,0.5,0.51,0.75,0.91,0.65,0.87,0.28,1.0,0.85,0.06,0.32,0.73,0.77,0.05,0.66,0.05,0
69,0.37,0.33,0.09,0.09,0.29,0.42,0.98,0.5,0.17,0.87,0.1,0.92,0.4,0.35,0.81,0.27,0.73,0.53,0.68,0.28,0
70,0.94,0.07,0.19,0.68,0.85,0.43,0.27,0.04,0.31,0.19,0.43,0.47,0.21,0.08,0.31,0.84,0.77,0.25,0.31,0.55,0
71,0.34,0.39,0.75,0.15,0.2,0.86,0.25,0.16,0.78,0.39,0.21,0.4,0.15,0.58,0.85,0.43,0.77,0.74,0.58,0.76,0
72,0.64,0.24,0.73,0.62,0.47,0.52,0.79,0.6,0.78,0.13,0.05,0.16,0.22,0.63,0.86,0.01,0.65,0.0,0.44,0.51,0
73,0.62,0.7,0.99,0.08,0.81,0.73,0.23,0.1,0.61,0.61,0.38,0.46,0.68,0.26,0.14,0.96,0.13,0.6,0.95,0.13,1
74,0.27,0.98,0.55,0.42,0.79,0.38,0.02,0.62,0.53,0.78,0.16,0.46,0.99,0.83,0.99,0.71,0.9,0.23,0.08,0.27,0
75,0.96,0.38,0.66,0.99,0.1,0.14,0.38,0.55,0.91,0.72,0.22,0.91,0.94,0.0,0.92,0.27,0.41,0.7,0.0,0.61,0
76,0.2,0.06,0.08,0.0,0.04,0.99,0.4,0.31,0.11,0.93,0.11,0.03,0.9,0.89,0.02,0.99,0.82,0.94,0.32,0.78,0
77,0.31,0.59,0.11,0.97,0.86,0.1,0.24,0.35,0.71,0.35,0.06,0.97,0.71,0.8,0.89,0.74,0.72,0.55,0.47,0.57,1
78,0.4,0.88,0.0,0.26,0.8,0.59,0.83,0.17,0.75,0.92,0.13,0.19,0.66,0.8,0.69,0.36,0.97,0.08,0.26,0.84,0
79,0.71,0.35,0.5,0.77,0.78,0.92,0.37,0.97,0.45,0.78,0.41,0.2,0.39,0.75,0.4,0.4,0.69,0.43,0.31,0.62,1
80,0.32,0.28,0.44,0.59,0.59,0.67,0.42,0.31,0.17,0.2,0.27,0.82,0.75,0.45,0.46,0.18,0.39,0.58,0.14,0.62,1
81,0.94,0.47,0.59,0.53,0.08,0.71,0.45,0.96,0.64,0.83,0.21,0.08,0.09,0.87,0.57,0.54,0.1,0.05,0.74,0.15,0
82,0.76,0.26,0.68,0.73,0.95,0.04,0.44,0.3,0.71,0.8,0.72,0.71,0.95,0.78,0.76,0.7,0.33,0.38,0.86,0.51,1
83,0.9,0.45,0.01,0.52,0.42,0.0,0.15,0.04,0.43,0.15,0.21,0.02,0.74,0.79,0.65,0.53,0.98,0.25,0.28,0.74,0
84,0.49,0.97,0.59,0.06,0.2,0.27,0.7,0.15,0.02,0.22,0.32,0.59,0.35,0.61,0.01,0.58,0.2,0.25,0.12,0.77,1
85,0.82,0.14,0.3,0.61,0.51,0.87,0.82,0.21,0.85,0.6,0.06,0.42,0.89,0.19,0.53,0.64,0.04,0.04,0.94,0.89,0
86,0.47,0.59,0.53,0.71,0.34,0.89,0.46,0.37,0.65,0.29,0.38,0.07,0.63,0.37,0.41,0.05,0.35,0.97,0.76,0.97,0
87,1.0,0.66,0.25,0.08,0.67,0.86,0.72,0.07,0.84,0.25,0.4,0.66,0.3,0.68,0.63,0.91,0.61,0.43,0.37,0.37,1
88,0.75,0.66,0.41,0.63,0.06,0.13,0.47,0.12,0.89,0.82,0.16,0.37,0.47,0.14,0.4,0.35,0.25,0.89,0.81,0.51,1
89,0.63,0.87,0.92,0.94,0.73,0.74,0.95,0.59,0.98,0.82,0.03,0.09,0.92,0.85,0.25,0.13,0.13,0.45,0.56,0.41,0
90,0.89,0.63,0.06,0.08,0.7,0.13,0.75,0.54,0.6,0.38,0.74,0.81,0.66,0.0,1.0,0.54,0.12,0.99,0.75,0.97,0
91,0.75,0.03,0.3,0.95,0.71,0.76,0.35,0.55,0.42,0.62,0.33,0.04,0.02,0.73,0.8,0.56,0.27,0.36,0.83,0.56,1
92,0.94,0.42,0.19,1.0,0.29,0.73,0.07,0.52,0.49,0.76,0.81,0.69,0.13,0.44,0.63,0.96,0.43,0.27,0.42,0.06,1
93,0.97,0.26,0.17,0.98,0.09,0.42,0.29,0.8,0.26,0.77,0.21,0.37,0.6,0.96,0.65,1.0,0.19,0.71,0.34,0.51,0
94,0.94,0.85,0.17,0.48,0.59,0.35,0.11,0.44,0.76,0.33,0.02,0.14,0.44,0.28,0.87,0.7,0.18,0.73,0.85,0.13,1
95,0.89,0.91,0.84,0.47,0.39,0.59,0.02,0.7,0.4,0.44,0.34,0.7,0.17,0.11,0.78,0.35,0.95,0.16,0.46,0.83,0
96,0.3,0.76,0.99,0.53,0.78,1.0,0.71,0.25,0.47,0.26,0.22,0.56,0.29,0.23,0.39,0.73,1.0,0.16,0.53,0.29,1
97,0.49,0.19,0.9,0.94,0.37,0.65,0.88,0.41,0.98,0.35,0.33,0.56,0.94,0.37,0.13,0.97,0.75,0.64,0.91,0.81,1
98,0.78,0.91,0.87,0.54,0.13,0.39,0.29,0.91,0.54,0.79,0.47,0.27,0.22,0.16,0.56,0.76,0.28,0.08,0.82,0.67,0
99,0.41,0.92,0.42,0.9,0.65,0.69,0.08,0.23,0.82,0.9,0.39,0.61,0.17,0.29,0.61,0.3,0.34,0.19,0.49,0.76,1
100,0.83,0.37,0.86,0.8,0.64,0.96,0.76,0.97,0.43,0.9,0.28,0.02,0.06,0.31,0.56,0.95,0.94,0.03,0.86,0.77,0
101,0.3,0.82,0.5,0.41,0.51,0.53,0.09,0.66,0.19,0.08,0.03,0.53,0.69,0.77,0.57,0.35,0.79,0.44,0.11,0.76,1
102,0.95,0.77,0.08,0.04,0.53,0.5,0.06,0.78,0.01,0.9,0.4,0.95,0.24,0.13,0.56,0.5,0.86,0.0,0.65,0.82,0
103,0.81,0.79,0.02,0.39,0.67,0.87,0.64,0.09,0.63,0.19,0.71,0.91,0.87,0.93,0.27,0.48,0.97,0.8,0.35,0.81,0
104,0.65,0.81,0.3,0.81,0.02,0.13,0.44,0.02,0.22,0.36,0.42,0.66,0.58,0.94,0.45,0.75,0.24,0.26,0.27,0.4,1
105,0.42,0.67,0.37,0.34,0.37,0.25,0.43,0.29,0.71,0.23,0.13,0.61,0.85,0.75,0.52,0.77,0.98,0.57,0.88,0.32,1
106,0.95,0.84,0.87,0.63,0.73,0.33,0.94,0.89,0.81,0.51,0.56,0.18,0.9,0.58,0.63,0.99,0.41,0.58,1.0,0.67,0
107,0.7,0.01,0.47,0.79,0.19,0.18,0.73,0.88,0.75,0.99,0.16,0.01,0.86,0.53,0.19,0.54,0.84,0.59,0.84,0.02,1
108,0.77,0.95,0.27,0.4,0.3,0.79,0.93,0.24,0.86,0.85,0.27,0.56,0.6,0.59,0.46,0.63,0.97,0.09,1.0,0.26,1
109,0.94,0.04,0.72,0.23,0.92,0.68,0.27,0.96,0.07,0.37,0.8,0.58,0.75,0.96,0.16,0.36,0.41,0.81,0.24,0.67,0
110,0.99,0.25,0.73,0.75,0.07,0.66,0.21,0.9,0.06,0.79,0.86,0.55,0.57,0.13,0.73,0.44,0.74,0.44,0.85,0.37,0
111,0.78,0.17,0.08,0.88,0.63,0.05,0.92,0.26,0.49,0.51,0.74,0.58,0.87,0.55,0.2,0.47,0.64,0.5,0.58,0.22,1
112,0.82,0.3,0.02,0.9,0.01,0.05,0.35,0.54,0.34,0.43,0.22,0.63,0.17,0.15,0.86,0.75,0.23,0.64,0.71,0.97,0
113,0.62,0.64,0.21,0.63,0.48,0.8,0.1,0.48,0.91,0.93,0.38,0.92,0.53,0.09,0.91,0.98,0.48,0.95,0.93,0.85,1
114,0.09,0.33,0.76,0.54,0.85,0.07,0.19,0.97,0.28,0.07,0.05,0.39,0.5,0.9,0.01,0.09,0.49,0.32,0.11,0.15,1
115,1.0,0.4,0.72,0.56,0.59,0.89,0.55,0.51,1.0,0.87,0.22,0.45,0.33,0.18,0.66,0.99,0.33,0.45,0.46,0.4,1
116,0.79,0.16,0.36,0.83,0.43,0.7,0.52,0.56,0.9,0.02,0.52,0.82,0.7,0.72,0.85,0.48,0.63,0.38,0.74,0.55,1
117,0.98,0.64,0.78,0.98,0.63,0.75,0.69,0.21,0.2,0.37,0.6,0.62,0.75,0.19,0.18,0.78,0.21,0.48,1.0,0.65,1
118,0.9,0.12,0.7,0.21,0.38,0.93,0.95,0.11,0.5,0.08,0.39,0.75,0.41,0.95,0.96,0.74,0.97,0.67,0.88,0.91,0
119,0.75,0.13,0.02,0.3,0.18,0.01,0.95,0.98,0.94,0.91,0.0,0.74,0.41,0.59,0.61,0.67,0.19,0.54,0.71,0.59,0
120,0.67,0.64,0.14,0.19,0.84,0.07,0.29,0.65,0.33,0.42,0.53,0.96,0.76,0.27,0.98,0.55,0.15,0.62,0.99,1.0,0
121,0.88,0.9,0.36,0.11,0.55,0.79,0.25,0.98,0.51,0.44,0.7,0.44,0.2,0.84,0.34,0.45,0.49,0.56,0.47,0.94,1
122,0.62,0.83,0.77,0.15,0.22,0.32,0.34,0.42,0.19,0.87,0.47,0.75,0.36,0.4,0.47,0.54,0.87,0.21,0.45,0.64,1
123,0.76,0.45,0.33,0.5,0.96,0.59,0.59,0.81,0.01,0.33,0.48,0.7,0.76,0.54,0.46,0.87,0.8,0.82,0.22,0.75,1
124,0.24,0.34,0.58,0.57,0.29,0.38,0.84,0.45,0.04,0.47,0.17,0.39,0.81,0.59,0.48,0.51,0.51,0.92,0.89,0.15,1
125,0.58,0.02,0.42,0.07,0.99,0.72,0.02,0.73,0.43,0.77,0.33,0.49,0.0,0.64,0.02,0.83,0.3,0.79,0.0,0.29,1
126,0.99,0.67,0.97,0.51,0.87,0.14,0.7,0.14,0.85,0.66,0.51,0.79,0.8,0.33,0.3,0.37,0.67,0.43,0.23,0.65,1
127,0.84,0.61,0.3,0.84,0.6,0.26,0.2,0.5,0.3,0.57,0.53,0.96,0.3,0.45,0.01,0.73,0.9,0.0,0.43,0.96,1
128,0.96,0.44,0.33,0.0,0.83,0.55,0.68,0.7,0.91,0.74,0.33,0.33,0.75,0.17,0.96,0.97,0.26,0.35,0.84,0.32,1
129,0.71,0.8,0.15,0.77,0.1,0.16,0.72,0.5,0.55,0.05,0.41,0.76,0.89,0.12,0.75,0.91,0.74,0.3,0.67,0.18,0
130,0.82,0.01,0.64,0.08,0.64,0.7,0.9,0.72,0.19,0.99,0.43,0.04,0.65,0.01,0.86,0.28,0.54,0.48,0.03,0.91,1
131,0.49,0.95,0.05,0.18,0.62,0.97,0.39,1.0,0.77,0.25,0.07,0.9,0.13,0.17,0.06,0.39,0.17,0.84,0.49,0.83,0
132,0.68,0.16,0.81,0.9,0.22,0.71,0.19,0.36,0.4,0.67,0.14,0.66,0.47,0.95,0.63,0.54,0.88,0.18,0.94,1.0,0
133,0.57,0.53,0.88,0.48,0.04,0.3,0.98,0.82,0.16,0.35,0.22,0.7,0.06,0.27,0.52,0.82,0.62,0.06,0.63,0.27,0
134,0.67,0.5,0.6,0.47,0.07,0.15,0.7,0.97,0.8,0.03,0.2,0.37,0.65,0.95,0.78,0.16,0.12,0.4,0.67,0.22,0
135,0.73,0.73,0.41,0.1,0.02,0.46,0.3,0.86,0.26,0.12,0.73,0.49,0.33,0.95,0.55,0.05,0.13,0.09,0.58,0.76,0
136,0.22,0.23,0.7,0.39,0.89,0.95,0.1,0.58,0.64,0.01,0.01,0.36,0.41,0.1,0.77,0.04,0.99,0.34,0.76,0.59,0
137,0.19,0.78,0.83,0.58,0.7,0.05,0.28,0.06,0.45,0.99,0.05,0.71,0.3,0.83,0.43,0.69,0.51,0.23,0.12,0.55,1
138,0.73,0.28,0.32,0.21,0.22,0.33,0.35,0.44,0.67,0.63,0.33,0.06,0.58,0.82,0.43,0.92,0.84,0.27,0.08,0.51,0
139,0.69,0.52,0.84,0.54,0.74,0.65,0.67,0.68,0.13,0.02,0.65,0.25,0.95,0.31,0.91,0.07,0.32,0.23,0.26,0.95,1
140,0.59,0.88,0.09,0.55,0.59,0.13,0.61,0.11,0.23,0.94,0.34,0.05,0.06,0.59,0.77,0.3,0.29,0.84,0.39,0.11,0
141,0.59,0.78,0.49,0.6,0.14,0.28,0.93,0.21,0.18,0.89,0.3,0.42,0.94,0.87,1.0,0.88,0.41,0.32,0.12,0.05,0
142,0.96,0.73,0.26,0.63,0.63,0.14,0.65,0.1,0.18,0.61,0.26,0.13,0.77,0.58,0.5,0.99,0.44,0.2,0.92,0.31,0
143,0.97,0.44,0.36,0.33,0.21,0.21,0.83,0.14,0.45,0.59,0.87,0.67,0.51,0.66,0.75,0.62,0.64,0.31,0.68,0.08,1
144,0.61,0.98,0.68,0.07,0.91,0.28,0.46,0.85,0.24,0.13,0.29,0.13,0.13,0.85,0.53,0.18,1.0,0.07,0.62,0.27,0
145,1.0,0.76,0.64,0.79,0.57,0.9,0.26,0.43,0.43,0.08,0.47,0.16,0.2,0.87,0.64,0.48,0.02,0.41,0.38,0.48,1
146,0.38,0.14,0.54,0.3,0.23,0.1,0.82,0.98,0.12,0.59,0.27,0.28,0.22,0.76,0.5,0.61,0.14,0.45,0.7,0.52,0
147,0.76,0.02,0.96,0.54,0.77,0.76,0.9,0.82,0.4,1.0,0.73,0.88,0.6,0.03,0.0,0.52,0.32,0.78,0.37,0.98,0
148,0.67,0.05,0.91,0.84,0.85,0.8,0.39,0.17,0.07,0.41,0.0,0.77,0.69,0.3,0.11,0.39,0.91,0.98,0.88,0.77,0
149,0.95,0.12,0.51,0.11,0.71,0.06,0.39,0.72,0.09,0.22,0.52,0.53,0.2,0.24,0.34,0.36,0.65,0.37,0.13,0.85,1
150,0.87,0.13,0.58,0.48,0.75,0.99,0.65,0.05,0.51,0.6,0.15,0.71,0.51,0.35,0.2,0.36,0.03,0.98,0.7,0.63,0
151,0.71,0.88,0.38,0.82,0.08,0.27,0.86,0.94,0.7,0.23,0.48,0.13,0.21,0.82,0.45,0.11,0.51,0.32,0.68,0.5,1
152,0.53,0.32,0.54,0.32,0.8,0.29,0.22,0.96,0.53,0.54,0.24,0.32,0.57,0.38,0.99,0.95,0.02,0.65,0.92,0.14,1
153,0.52,0.66,0.28,0.86,0.38,0.79,0.81,0.67,0.02,0.07,0.14,0.61,0.79,0.7,0.64,0.19,0.25,0.47,0.77,0.93,0
154,0.65,0.05,0.88,0.74,0.83,0.6,0.06,0.43,0.77,0.35,0.56,0.01,0.84,0.02,0.99,0.28,0.73,0.92,0.96,0.02,1
155,0.78,0.97,0.57,0.57,0.5,0.1,0.02,0.03,0.69,0.45,0.56,1.0,0.23,0.14,0.65,0.63,0.15,0.19,0.58,0.94,1
156,0.99,0.11,0.27,0.32,0.18,0.28,0.24,0.32,0.12,0.61,0.32,0.41,0.91,0.92,0.84,0.35,0.66,0.25,0.11,0.52,0
157,0.43,0.9,0.37,0.2,0.05,0.59,0.76,0.27,0.43,0.27,0.08,0.62,0.22,0.71,0.42,0.28,0.15,0.4,0.38,0.7,1
158,0.63,0.09,0.01,0.98,0.2,0.47,0.48,0.78,0.44,0.76,0.52,0.88,0.77,0.98,0.25,0.99,0.81,0.32,0.03,0.85,0
159,0.54,0.02,0.61,0.41,0.4,0.8,0.44,0.71,0.94,0.57,0.13,0.7,0.81,0.52,0.99,0.45,0.2,0.4,0.95,0.33,1
160,0.41,0.25,0.97,0.83,0.08,0.06,0.33,0.15,0.15,0.33,0.38,0.38,0.37,0.42,0.51,0.78,0.93,0.63,0.64,0.71,0
161,0.29,0.41,0.88,0.67,0.21,0.05,0.25,0.25,0.33,0.65,0.15,0.39,0.14,0.2,0.05,0.78,0.46,0.93,0.47,0.3,0
162,0.98,0.01,1.0,0.3,0.76,0.19,0.17,0.67,0.12,0.21,0.31,0.55,0.73,0.75,0.15,0.96,0.57,0.76,0.14,0.85,0
163,1.0,0.86,0.48,0.23,0.46,0.77,0.72,0.35,0.16,0.65,0.34,0.19,0.64,0.94,0.62,0.43,0.08,0.04,0.19,0.37,0
